Chemical formula,Radius A [ang],Radius B [ang],Radius O,Tolerance factor,Lowest distortion,a [ang],b [ang],c [ang],Curie Temperature (K)
FeLiO3,0.85,0.76,1.36,0.737125465,orthorhombic,4.805,5.041,7.159,
FeLuO3,0.78,0.86,1.36,0.681625456,-,-,-,-,
FeMgO3,0.85,0.72,1.36,0.751300955,cubic,3.769,3.769,3.769,
FeMnO3,0.92,0.53,1.36,0.853017704,cubic,3.715,3.715,3.715,
FeMoO3,0.92,0.65,1.36,0.802091274,rhombohedral,5.404,5.404,5.404,
FeNaO3,0.85,1.02,1.36,0.656599154,orthorhombic,5.286,5.41,8.756,
FeNbO3,0.92,0.68,1.36,0.790295814,orthorhombic,5.289,5.448,7.654,
FeNdO3,0.85,0.98,1.36,0.667823071,orthorhombic,5.644,5.648,8.61,
FeNiO3,0.92,0.48,1.36,0.876197533,cubic,3.623,3.623,3.623,
FeNpO3,0.85,0.86,1.36,0.703921616,cubic,4.312,4.312,4.312,
FeOsO3,0.85,0.57,1.36,0.809692221,cubic,3.854,3.854,3.854,
FePaO3,0.85,0.91,1.36,0.688416734,cubic,4.348,4.348,4.348,
FePbO3,0.92,0.78,1.36,0.753366103,rhombohedral,5.927,5.927,5.927,
FePdO3,0.92,0.62,1.36,0.814244172,cubic,3.887,3.887,3.887,
FePmO3,0.85,0.97,1.36,0.670689265,orthorhombic,5.614,5.62,8.539,
FePrO3,0.85,0.92,1.36,0.685397362,orthorhombic,5.669,5.684,8.681,
FePtO3,0.85,0.67,1.36,0.769805905,cubic,3.923,3.923,3.923,
FePuO3,0.85,0.83,1.36,0.713564377,rhombohedral,5.946,5.946,5.946,
FeRbO3,0.85,1.52,1.36,0.542606245,orthorhombic,5.491,6.01,10.406,
FeReO3,0.92,0.63,1.36,0.810152493,cubic,3.923,3.923,3.923,
FeRhO3,0.92,0.6,1.36,0.822552786,cubic,3.859,3.859,3.859,
FeRuO3,0.92,0.57,1.36,0.835338581,cubic,4.397,4.397,4.397,
FeSbO3,0.92,0.6,1.36,0.822552786,cubic,3.977,3.977,3.977,
FeScO3,0.85,0.75,1.36,0.740618951,-,-,-,-,
FeSiO3,0.92,0.4,1.36,0.916024694,cubic,3.512,3.512,3.512,
FeSmO3,0.85,0.96,1.36,0.673580167,orthorhombic,5.591,5.605,8.499,
FeSnO3,0.92,0.69,1.36,0.786440713,cubic,3.992,3.992,3.992,
FeSrO3,0.85,1.18,1.36,0.615238577,orthorhombic,5.582,5.783,9.064,
FeTaO3,0.92,0.68,1.36,0.790295814,orthorhombic,5.178,5.767,7.432,
FeTbO3,0.92,0.76,1.36,0.760473331,cubic,4.28,4.28,4.28,
FeTcO3,0.85,0.6,1.36,0.797298973,orthorhombic,5.135,5.373,7.543,
FeTeO3,0.92,0.97,1.36,0.691932816,cubic,4.076,4.076,4.076,
FeThO3,0.92,0.94,1.36,0.700958027,cubic,4.713,4.713,4.713,
FeTiO3,0.92,0.61,1.36,0.818377391,cubic,3.824,3.824,3.824,
FeTlO3,0.78,0.89,1.36,0.672537116,orthorhombic,5.458,5.471,8.441,
FeTmO3,0.78,0.88,1.36,0.675539514,cubic,4.187,4.187,4.187,
FeUO3,0.92,0.89,1.36,0.716534872,cubic,4.293,4.293,4.293,
FeVO3,0.92,0.58,1.36,0.831032712,cubic,3.735,3.735,3.735,
FeWO3,0.92,0.66,1.36,0.798120525,rhombohedral,5.299,5.299,5.299,
FeYO3,0.85,0.9,1.36,0.691462826,-,-,-,-,
FeYbO3,0.78,0.87,1.36,0.678568839,orthorhombic,5.523,5.641,8.013,
FeZnO3,0.85,0.74,1.36,0.744145708,cubic,4.261,4.261,4.261,
FeZrO3,0.92,0.72,1.36,0.775097818,cubic,4.099,4.099,4.099,
GaAcO3,0.62,1.12,1.36,0.56454493,orthorhombic,4.54,6.777,10.328,
GaAgO3,0.62,0.95,1.36,0.606091527,orthorhombic,5.139,5.195,8.455,
GaAlO3,0.62,0.54,1.36,0.736879698,cubic,3.638,3.638,3.638,
GaAsO3,0.62,0.46,1.36,0.769270015,cubic,3.793,3.793,3.793,
GaAuO3,0.62,0.93,1.36,0.611384903,cubic,4.033,4.033,4.033,
GaBO3,0.62,0.27,1.36,0.858939526,cubic,3.334,3.334,3.334,
GaBaO3,0.62,1.35,1.36,0.516631523,orthorhombic,5.418,6.343,9.417,
GaBeO3,0.62,0.45,1.36,0.773520125,cubic,3.425,3.425,3.425,
GaBiO3,0.62,0.76,1.36,0.66041105,orthorhombic,5.373,6.159,9.071,
GaCaO3,0.62,1,1.36,0.593250605,orthorhombic,5.274,5.665,8.555,
GaCdO3,0.62,0.95,1.36,0.606091527,orthorhombic,5.318,5.556,8.321,
GaCeO3,0.62,0.94,1.36,0.608726707,rhombohedral,6.35,6.35,6.35,
GaCoO3,0.62,0.63,1.36,0.703553481,cubic,4.487,4.487,4.487,
GaCrO3,0.62,0.49,1.36,0.756795366,cubic,3.763,3.763,3.763,
GaCsO3,0.62,1.67,1.36,0.462069778,cubic,4.405,4.405,4.405,
GaCuO3,0.62,0.68,1.36,0.686309523,cubic,3.68,3.68,3.68,
GaDyO3,0.62,0.99,1.36,0.595775075,cubic,4.355,4.355,4.355,
GaErO3,0.62,0.89,1.36,0.622253967,cubic,4.304,4.304,4.304,
GaEuO3,0.62,1.06,1.36,0.578541912,orthorhombic,5.225,5.829,8.783,
GaFeO3,0.62,0.67,1.36,0.689690358,cubic,3.753,3.753,3.753,
GaGdO3,0.62,0.94,1.36,0.608726707,rhombohedral,5.996,5.996,5.996,
GaGeO3,0.62,0.63,1.36,0.703553481,cubic,3.722,3.722,3.722,
GaHfO3,0.62,0.71,1.36,0.676363008,cubic,4.078,4.078,4.078,
GaHgO3,0.62,1.11,1.36,0.566830537,cubic,4.135,4.135,4.135,
GaHoO3,0.62,0.9,1.36,0.619500631,cubic,4.346,4.346,4.346,
GaInO3,0.62,0.8,1.36,0.648181216,cubic,4.098,4.098,4.098,
GaIrO3,0.62,0.57,1.36,0.72542561,cubic,3.912,3.912,3.912,
GaKO3,0.62,1.38,1.36,0.510974973,orthorhombic,5.73,6.759,7.86,
