,Formula,eV
273,CaZrO3,0.19208637
396,CaZrO3,0.025264671
365,CdBiO3,0
129,CdBO3,1.019645847
147,CdCO3,0.567027308
255,CdCO3,0
281,CdCO3,3.211951861
331,CdCO3,2.89766337
350,CdCoO3,0.085635081
386,CdCoO3,0.036635089
387,CdCoO3,0.033758676
411,CdFeO3,0.077570318
18,CdGeO3,0.302212681
174,CdGeO3,0.118069817
227,CdGeO3,0.001367492
340,CdGeO3,0.102291941
378,CdGeO3,0.016985905
423,CdGeO3,0.021762601
3,CdIrO3,0.466712981
15,CdOsO3,0.358640493
339,CdPbO3,0
12,CdRhO3,0.429279753
6,CdRuO3,0.33633321
302,CdSeO3,0
438,CdSeO3,0.0098443
13,CdSiO3,0.374636357
306,CdSiO3,0
395,CdSiO3,0.026953701
14,CdSnO3,0.346236649
358,CdSnO3,0
425,CdSnO3,0.03029739
180,CdSO3,0.075783358
294,CdSO3,0.073090133
426,CdSO3,0.072952507
140,CdTcO3,0.117500074
224,CdTeO3,0
196,CeAlO3,0.002340473
239,CeAlO3,0.003793031
250,CeAlO3,0
270,CeAlO3,0.015864089
405,CeAlO3,0.000301608
27,CeAsO3,0.166700689
144,CeAsO3,0.155441402
130,CeBeO3,0.418723576
200,CeBO3,0.008087223
205,CeBO3,0
203,CeCrO3,0.191378562
416,CeCrO3,0.055133806
439,CeCuO3,0.407815757
370,CeFeO3,0.068752037
431,CeFeO3,0.338278305
23,CeGaO3,0.134490186
213,CeGaO3,0.875798229
236,CeGaO3,0.222936685
152,CeLuO3,0.067628403
133,CeMnO3,0.361659518
409,CeNiO3,0.092932901
434,CeNiO3,0.610322402
156,CePbO3,0.377239702
134,CePuO3,0.55848482
153,CeRhO3,0.16859813
247,CeSbO3,0.456721309
412,CeScO3,0.018966364
132,CeTaO3,0.322898047
359,CeTiO3,0.086592538
151,CeTmO3,0.077050875
182,CeVO3,0
214,CeVO3,0.229694359
349,CoAgO3,0.474044535
353,CoAgO3,0.083146635
131,CoAuO3,0.620249296
136,CoBiO3,0.117032921
276,CoBiO3,0.036424035
98,CoBO3,1.129107534
376,CoBO3,0.064611401
381,CoBO3,0.087378205
55,CoCO3,0.41733553
210,CoCO3,0
211,CoGeO3,0
135,CoMoO3,0.663443426
36,CoNiO3,0
550,CoPbO3,0.078363839
896,CoPbO3,0.167497301
928,CoPbO3,0.181471521
561,CoRhO3,0.803897202
556,CoSbO3,0.583409441
774,CoSeO3,0.026761613
850,CoSeO3,0
868,CoSiO3,0.018089258
557,CoSnO3,0.684646015
871,CoSnO3,0.076461831
915,CoSnO3,0.0355269
744,CoTeO3,0.045739338
997,CoTeO3,0.714032724
783,CrBiO3,0.021227099
818,CrBiO3,0.011976889
842,CrBiO3,0.008816565
748,CrBO3,0
559,CrCuO3,0.675159761
523,CrFeO3,0.024189957
722,CrFeO3,0.761229937
723,CrFeO3,0.38893166
724,CrFeO3,0.429569355
725,CrFeO3,0.391624333
726,CrFeO3,0.417120882
727,CrFeO3,0.383741162
728,CrFeO3,0.364008939
729,CrFeO3,0.366197971
560,CrGeO3,0.635944895
901,CrInO3,0.048166446
720,CrMoO3,0.416453339
770,CrPbO3,0.149072213
562,CrRhO3,0.948618867
558,CrTcO3,0.605549705
719,CrWO3,0.748938123
551,CsAsO3,0.098809447
568,CsAsO3,0.764810356
936,CsAsO3,0
668,CsAuO3,0.450310143
580,CsBaO3,0.471778173
988,CsBiO3,0.031436933
792,CsBrO3,0
991,CsCaO3,0.410618902
576,CsCdO3,0.415613646
881,CsClO3,0.038822366
911,CsClO3,0.035425269
941,CsClO3,0.032189763
669,CsEuO3,0.148561658
990,CsGdO3,0.20736744
989,CsGeO3,0.571728661
790,CsIO3,0
853,CsIO3,1.976984502
992,CsIrO3,0.211917319
993,CsKO3,0.670610388
572,CsLaO3,0.247634905
996,CsMgO3,0.465485096
571,CsMoO3,0.369705891
578,CsNaO3,0.801495297
531,CsNbO3,0.251843904
788,CsNbO3,0
575,CsNdO3,0.264106733
680,CsNO3,0.0221019
775,CsNO3,0.006010941
847,CsNO3,0
579,CsNpO3,0.090706581
570,CsOsO3,0.246473704
574,CsPaO3,0
667,CsPbO3,0.20130125
569,CsPdO3,0.234348235
709,CsPO3,0.008750185
710,CsPO3,0
573,CsPrO3,0.263017881
577,CsRbO3,0.619787439
581,CsRuO3,0.37626965
672,CsSbO3,0.32722699
588,CsSmO3,0.266899083
995,CsSnO3,0.263680289
514,CsSO3,0.187837622
846,CsSO3,0
582,CsSrO3,0.41776882
671,CsTaO3,0.253007516
670,CsTbO3,0.268761541
583,CsTeO3,0.30245094
587,CsThO3,0.132926203
584,CsTiO3,0.305151392
666,CsTlO3,0.324615689
951,CsUO3,0.032836949
805,CsVO3,0
673,CsYbO3,0.413269514
548,CuAsO3,0.070495942
937,CuAsO3,0.08204993
594,CuBiO3,0.165217753
592,CuBO3,1.146860405
530,CuCO3,0.126672999
549,CuCO3,0.084571968
787,CuCO3,0.159143197
910,CuCO3,0.128027066
913,CuCO3,0.133777098
914,CuCO3,0.105763685
687,CuGeO3,0.02831287
760,CuGeO3,0.041935669
829,CuGeO3,0.100445564
845,CuGeO3,0.031291663
593,CuHgO3,0.318811793
596,CuPbO3,0.248399679
595,CuPdO3,0.718219679
917,CuPO3,0.099367773
932,CuPO3,0.082118599
934,CuPO3,0.022163301
771,CuSeO3,0.034219781
776,CuSeO3,0.012764038
826,CuSeO3,0.027021891
843,CuSeO3,0.007615246
732,CuSiO3,0.097598886
834,CuSiO3,0.062526507
758,CuTeO3,0.065036508
802,CuTeO3,0.044251931
840,CuTeO3,0.036123236
888,DyAlO3,0.040796638
908,DyAlO3,0.012788191
994,DyAlO3,0.141645068
691,DyBiO3,1.153005967
527,DyBO3,0.028200228
721,DyBO3,0
874,DyBO3,0.060143966
766,DyCoO3,0.012384148
750,DyCrO3,0
563,DyCuO3,0.220858685
931,DyErO3,0.084514419
768,DyFeO3,0
898,DyGaO3,0.047954066
923,DyGaO3,0.025311474
918,DyHoO3,0.090126106
547,DyInO3,0.064222074
566,DyInO3,0.698713257
919,DyInO3,0.004663787
907,DyLuO3,0.075279419
765,DyMnO3,0.023075911
816,DyMnO3,0
747,DyNiO3,0
564,DyPaO3,0.994208507
565,DyRhO3,0.570654112
703,DyRhO3,0
694,DySbO3,1.03831978
797,DyScO3,0.028446847
925,DySeO3,0
599,DySnO3,0.849309566
942,DyTiO3,0.057938694
870,DyTmO3,0.088189676
778,DyVO3,0
921,DyYO3,0.096564985
598,ErAlO3,0.186029619
880,ErAlO3,0.085702263
906,ErAlO3,0.017959491
597,ErBeO3,0.379485976
885,ErBiO3,0.051248397
890,ErBiO3,0.030797916
525,ErBO3,0.062202726
678,ErBO3,0
912,ErBO3,0.093411216
849,ErCoO3,0.015700134
742,ErCrO3,0
600,ErCuO3,0.275601521
753,ErFeO3,0.002802436
602,ErGaO3,0.381973758
707,ErGaO3,0.050574518
708,ErGaO3,0.013924856
882,ErInO3,0.080260072
933,ErInO3,0.015731632
601,ErIrO3,0.829838487
939,ErLuO3,0.091661039
746,ErMnO3,0
749,ErMnO3,0.034539323
674,ErNiO3,0.001515166
739,ErNiO3,0
706,ErRhO3,0
705,ErScO3,0.041070527
603,ErTaO3,0.718053755
902,ErTiO3,0.059160911
607,ErTlO3,0.584836371
745,ErVO3,0
605,ErZnO3,0.45469936
520,EuAgO3,0.273962072
761,EuAlO3,0
967,EuAlO3,0.007833735
987,EuAsO3,0.142272652
619,EuAuO3,0.37498759
613,EuBeO3,0.259984734
718,EuBO3,0.027287584
763,EuBO3,0
827,EuCO3,0
518,EuCoO3,0.079942426
700,EuCoO3,0.012471371
675,EuCrO3,0
889,EuCrO3,0.078481486
516,EuCuO3,0.049926276
999,EuCuO3,0.082204048
567,EuErO3,0.470302636
500,EuFeO3,0.013492522
517,EuFeO3,0.041411011
806,EuFeO3,0
689,EuGaO3,0.054051082
699,EuGaO3,0.059593714
950,EuGeO3,0
876,EuHfO3,0
617,EuHgO3,0.431001083
524,EuHO3,0.238263483
611,EuInO3,0.371103218
702,EuInO3,0.081237685
704,EuInO3,0.015889901
622,EuIrO3,0.329280673
612,EuLuO3,0.403351479
958,EuMgO3,0.267246398
533,EuMnO3,0.045766573
755,EuMnO3,0
621,EuMoO3,0.090709341
522,EuNbO3,0
897,EuNbO3,0.026283504
756,EuNiO3,0
982,EuNiO3,0.036617395
712,EuNpO3,0
981,EuOsO3,0.221966037
614,EuPbO3,0.293788767
618,EuPdO3,0.163791062
978,EuPtO3,0.371539057
980,EuReO3,0.214778625
752,EuRhO3,0
953,EuRuO3,0.120706095
979,EuSbO3,0.211591648
772,EuScO3,0.043201711
892,EuSeO3,0
952,EuSiO3,0.251591478
